,train,val,test
0,normal_060,normal_130,test_070
1,normal_083,normal_029,normal_126
2,normal_076,normal_045,normal_084
3,normal_141,normal_061,normal_109
4,normal_136,test_100,normal_154
5,normal_027,test_115,test_023
6,normal_158,normal_140,test_067
7,normal_142,normal_107,test_028
8,normal_067,normal_079,normal_128
9,normal_075,normal_023,test_103
10,normal_057,test_053,normal_096
11,normal_111,test_112,normal_132
12,normal_135,normal_011,test_128
13,normal_119,normal_028,normal_066
14,normal_035,normal_104,normal_043
15,normal_145,normal_146,normal_106
16,normal_127,normal_138,test_036
17,normal_120,normal_008,test_130
18,normal_094,test_005,normal_005
19,normal_131,normal_153,normal_088
20,normal_144,test_120,normal_105
21,normal_069,test_019,normal_118
22,normal_148,normal_085,normal_049
23,normal_025,test_055,normal_093
24,normal_046,tumor_004,test_013
25,normal_032,tumor_063,test_122
26,normal_002,test_068,test_051
27,normal_048,tumor_107,tumor_069
28,normal_034,tumor_050,tumor_065
29,normal_073,tumor_073,tumor_048
30,normal_070,tumor_044,test_082
31,normal_017,test_048,tumor_087
32,normal_115,tumor_057,tumor_009
33,normal_019,tumor_078,test_079
34,normal_063,tumor_110,tumor_074
35,normal_041,tumor_022,tumor_027
36,normal_037,test_105,tumor_093
37,normal_054,test_040,tumor_026
38,normal_157,tumor_011,tumor_015
39,normal_040,tumor_070,test_084
40,normal_103,,
41,normal_062,,
42,normal_036,,
43,normal_097,,
44,normal_053,,
45,normal_123,,
46,normal_078,,
47,normal_012,,
48,normal_020,,
49,normal_122,,
50,normal_051,,
51,normal_087,,
52,normal_124,,
53,normal_090,,
54,normal_047,,
55,normal_099,,
56,normal_116,,
57,normal_042,,
58,normal_026,,
59,normal_095,,
60,normal_071,,
61,normal_100,,
62,normal_082,,
63,normal_155,,
64,normal_133,,
65,test_024,,
66,test_106,,
67,test_012,,
68,test_125,,
69,test_101,,
70,test_054,,
71,normal_150,,
72,test_020,,
73,test_077,,
74,test_107,,
75,test_045,,
76,test_063,,
77,test_041,,
78,test_018,,
79,test_081,,
80,test_056,,
81,test_080,,
82,test_015,,
83,test_078,,
84,normal_016,,
85,normal_092,,
86,test_085,,
87,test_096,,
88,test_059,,
89,test_088,,
90,test_050,,
91,test_129,,
92,normal_156,,
93,test_057,,
94,test_060,,
95,normal_117,,
96,test_093,,
97,test_095,,
98,test_022,,
99,test_111,,
100,test_032,,
101,test_017,,
102,test_083,,
103,test_039,,
104,normal_021,,
105,test_091,,
106,test_035,,
107,test_072,,
108,test_014,,
109,test_044,,
110,test_127,,
111,test_123,,
112,normal_039,,
113,test_042,,
114,test_124,,
115,test_003,,
116,test_007,,
117,test_126,,
118,test_118,,
119,test_025,,
120,normal_024,,
121,test_006,,
122,test_037,,
123,test_034,,
124,normal_081,,
125,test_086,,
126,test_047,,
127,test_009,,
128,test_089,,
129,test_062,,
130,test_058,,
131,test_119,,
132,test_098,,
133,test_076,,
134,test_031,,
135,test_109,,
136,normal_074,,
137,test_043,,
138,test_087,,
139,normal_098,,
140,normal_110,,
141,normal_139,,
142,normal_055,,
143,normal_102,,
144,tumor_010,,
145,tumor_100,,
146,tumor_077,,
147,tumor_097,,
148,tumor_017,,
149,tumor_068,,
150,tumor_056,,
151,tumor_101,,
152,tumor_108,,
153,tumor_019,,
154,tumor_091,,
155,tumor_098,,
156,tumor_047,,
157,tumor_061,,
158,tumor_096,,
159,tumor_040,,
160,tumor_102,,
161,tumor_106,,
162,tumor_038,,
163,tumor_062,,
164,tumor_092,,
165,tumor_033,,
166,tumor_034,,
167,tumor_082,,
168,tumor_030,,
169,tumor_083,,
170,tumor_007,,
171,tumor_003,,
172,tumor_059,,
173,tumor_086,,
174,tumor_075,,
175,tumor_014,,
176,tumor_066,,
177,tumor_081,,
178,tumor_080,,
179,tumor_103,,
180,tumor_043,,
181,tumor_079,,
182,tumor_090,,
183,tumor_029,,
184,tumor_054,,
185,tumor_067,,
186,tumor_052,,
187,tumor_013,,
188,tumor_006,,
189,tumor_039,,
190,tumor_037,,
191,tumor_084,,
192,tumor_099,,
193,tumor_105,,
194,tumor_072,,
195,tumor_002,,
196,tumor_031,,
197,tumor_104,,
198,tumor_094,,
199,tumor_021,,
200,tumor_053,,
201,tumor_085,,
202,tumor_023,,
203,tumor_109,,
204,tumor_042,,
205,tumor_111,,
206,tumor_016,,
207,tumor_064,,
208,tumor_020,,
209,tumor_071,,
210,tumor_095,,
211,tumor_035,,
212,tumor_055,,
213,tumor_089,,
214,tumor_045,,
215,tumor_025,,
216,tumor_058,,
217,tumor_001,,
218,tumor_012,,
219,tumor_036,,
220,tumor_049,,
221,tumor_028,,
222,tumor_060,,
223,tumor_005,,
224,tumor_008,,
225,tumor_018,,
226,tumor_041,,
227,tumor_046,,
228,tumor_076,,
229,tumor_032,,
230,tumor_088,,
231,tumor_024,,
232,tumor_051,,
233,test_094,,
234,test_052,,
235,test_046,,
236,test_061,,
237,test_016,,
238,test_102,,
239,test_092,,
