,train,val,test
0,normal_141,normal_115,normal_147
1,normal_136,normal_084,normal_083
2,normal_027,normal_137,test_070
3,normal_005,normal_089,normal_043
4,normal_158,normal_155,normal_060
5,normal_142,normal_133,normal_131
6,normal_067,test_054,test_100
7,normal_146,test_039,normal_076
8,normal_028,test_018,normal_032
9,normal_075,test_119,test_126
10,normal_096,normal_123,normal_091
11,normal_057,test_098,normal_009
12,normal_111,test_044,test_086
13,normal_135,test_120,test_076
14,normal_119,normal_104,normal_160
15,normal_154,normal_097,test_083
16,normal_035,normal_022,normal_102
17,normal_145,test_050,normal_008
18,normal_127,normal_045,test_087
19,normal_120,test_057,normal_055
20,normal_094,test_023,normal_062
21,normal_144,normal_101,test_022
22,normal_069,normal_006,test_006
23,normal_148,normal_117,normal_038
24,normal_023,tumor_060,test_074
25,normal_109,tumor_110,tumor_102
26,normal_066,test_029,test_051
27,normal_049,test_027,test_099
28,normal_025,tumor_038,tumor_097
29,normal_046,tumor_024,tumor_081
30,normal_002,test_113,test_104
31,normal_048,tumor_021,tumor_020
32,normal_034,tumor_104,tumor_054
33,normal_073,tumor_040,test_092
34,normal_070,tumor_075,tumor_005
35,normal_017,test_075,tumor_070
36,normal_019,test_084,test_105
37,normal_063,tumor_026,tumor_036
38,normal_041,tumor_101,tumor_033
39,normal_037,tumor_063,tumor_027
40,normal_054,,
41,normal_157,,
42,normal_040,,
43,normal_118,,
44,normal_103,,
45,normal_036,,
46,normal_053,,
47,normal_078,,
48,normal_012,,
49,normal_020,,
50,normal_128,,
51,normal_122,,
52,normal_051,,
53,normal_087,,
54,normal_124,,
55,normal_090,,
56,normal_047,,
57,normal_099,,
58,normal_116,,
59,normal_130,,
60,normal_140,,
61,normal_042,,
62,normal_026,,
63,normal_095,,
64,normal_071,,
65,normal_100,,
66,normal_082,,
67,test_024,,
68,test_106,,
69,test_012,,
70,test_125,,
71,test_115,,
72,test_101,,
73,normal_150,,
74,test_020,,
75,test_077,,
76,test_107,,
77,test_045,,
78,test_063,,
79,test_041,,
80,normal_153,,
81,test_081,,
82,test_056,,
83,test_080,,
84,test_015,,
85,test_078,,
86,test_055,,
87,normal_016,,
88,normal_092,,
89,test_085,,
90,test_096,,
91,test_059,,
92,test_103,,
93,test_088,,
94,test_129,,
95,normal_156,,
96,test_060,,
97,test_053,,
98,test_093,,
99,test_095,,
100,test_112,,
101,test_130,,
102,normal_132,,
103,test_111,,
104,test_032,,
105,test_017,,
106,test_128,,
107,normal_021,,
108,test_091,,
109,test_035,,
110,test_072,,
111,test_014,,
112,test_019,,
113,test_127,,
114,test_123,,
115,normal_039,,
116,test_042,,
117,test_124,,
118,test_003,,
119,test_007,,
120,test_118,,
121,test_036,,
122,test_025,,
123,normal_024,,
124,test_005,,
125,test_037,,
126,test_034,,
127,normal_081,,
128,test_047,,
129,test_009,,
130,test_089,,
131,test_062,,
132,test_028,,
133,test_058,,
134,normal_093,,
135,test_031,,
136,test_067,,
137,test_109,,
138,normal_074,,
139,test_043,,
140,normal_138,,
141,normal_098,,
142,normal_110,,
143,normal_139,,
144,tumor_010,,
145,tumor_100,,
146,tumor_077,,
147,tumor_017,,
148,tumor_068,,
149,tumor_056,,
150,tumor_050,,
151,tumor_093,,
152,tumor_073,,
153,tumor_108,,
154,tumor_019,,
155,tumor_091,,
156,tumor_098,,
157,tumor_069,,
158,tumor_048,,
159,tumor_047,,
160,tumor_061,,
161,tumor_096,,
162,tumor_106,,
163,tumor_011,,
164,tumor_004,,
165,tumor_062,,
166,tumor_065,,
167,tumor_092,,
168,tumor_034,,
169,tumor_078,,
170,tumor_082,,
171,tumor_030,,
172,tumor_083,,
173,tumor_007,,
174,tumor_003,,
175,tumor_059,,
176,tumor_086,,
177,tumor_014,,
178,tumor_066,,
179,tumor_080,,
180,tumor_103,,
181,tumor_043,,
182,tumor_079,,
183,tumor_090,,
184,tumor_015,,
185,tumor_029,,
186,tumor_067,,
187,tumor_052,,
188,tumor_013,,
189,tumor_006,,
190,tumor_039,,
191,tumor_037,,
192,tumor_084,,
193,tumor_099,,
194,tumor_105,,
195,tumor_072,,
196,tumor_002,,
197,tumor_031,,
198,tumor_094,,
199,tumor_074,,
200,tumor_053,,
201,tumor_085,,
202,tumor_023,,
203,tumor_109,,
204,tumor_087,,
205,tumor_042,,
206,tumor_111,,
207,tumor_016,,
208,tumor_064,,
209,tumor_044,,
210,tumor_071,,
211,tumor_095,,
212,tumor_035,,
213,tumor_009,,
214,tumor_055,,
215,tumor_089,,
216,tumor_045,,
217,tumor_025,,
218,tumor_058,,
219,tumor_001,,
220,tumor_012,,
221,tumor_049,,
222,tumor_057,,
223,tumor_028,,
224,tumor_008,,
225,tumor_018,,
226,tumor_041,,
227,tumor_046,,
228,tumor_022,,
229,tumor_076,,
230,tumor_032,,
231,tumor_088,,
232,tumor_051,,
233,tumor_107,,
234,test_094,,
235,test_052,,
236,test_046,,
237,test_061,,
238,test_016,,
239,test_102,,
