,train,val,test
0,normal_083,normal_099,normal_016
1,normal_076,test_022,test_018
2,normal_141,test_056,test_124
3,normal_136,test_081,test_089
4,normal_027,test_093,normal_060
5,normal_005,normal_125,test_059
6,normal_142,normal_088,test_098
7,normal_067,test_109,normal_064
8,normal_146,normal_150,normal_003
9,normal_028,test_060,normal_052
10,normal_075,normal_044,normal_055
11,normal_057,normal_155,normal_036
12,normal_111,normal_074,test_103
13,normal_135,test_086,normal_133
14,normal_119,normal_089,test_063
15,normal_154,normal_107,test_036
16,normal_035,normal_061,normal_138
17,normal_145,test_023,normal_157
18,normal_127,normal_011,test_003
19,normal_120,normal_069,normal_073
20,normal_094,normal_158,normal_104
21,normal_131,normal_025,normal_013
22,normal_144,normal_129,normal_022
23,normal_148,normal_096,normal_041
24,normal_023,tumor_005,tumor_088
25,normal_109,tumor_046,tumor_103
26,normal_066,tumor_003,tumor_075
27,normal_049,tumor_062,test_048
28,normal_046,tumor_015,tumor_014
29,normal_032,tumor_042,tumor_059
30,normal_002,test_008,tumor_028
31,normal_048,test_084,tumor_107
32,normal_034,test_116,test_046
33,normal_070,tumor_006,test_004
34,normal_017,tumor_093,tumor_018
35,normal_045,test_016,test_021
36,normal_115,test_011,tumor_080
37,normal_019,test_030,tumor_099
38,normal_063,test_065,tumor_022
39,normal_037,tumor_048,test_064
40,normal_054,,
41,normal_040,,
42,normal_118,,
43,normal_103,,
44,normal_062,,
45,normal_097,,
46,normal_043,,
47,normal_053,,
48,normal_123,,
49,normal_078,,
50,normal_012,,
51,normal_020,,
52,normal_128,,
53,normal_122,,
54,normal_051,,
55,normal_087,,
56,normal_124,,
57,normal_090,,
58,normal_047,,
59,normal_116,,
60,normal_130,,
61,normal_140,,
62,normal_042,,
63,normal_026,,
64,normal_095,,
65,normal_071,,
66,normal_100,,
67,normal_082,,
68,test_024,,
69,test_106,,
70,test_012,,
71,test_120,,
72,test_125,,
73,test_115,,
74,test_101,,
75,test_054,,
76,test_020,,
77,test_077,,
78,test_107,,
79,test_045,,
80,test_041,,
81,normal_153,,
82,test_080,,
83,test_015,,
84,test_078,,
85,test_055,,
86,normal_092,,
87,test_085,,
88,test_096,,
89,test_088,,
90,test_050,,
91,test_129,,
92,normal_156,,
93,test_057,,
94,test_100,,
95,test_053,,
96,normal_117,,
97,test_095,,
98,test_112,,
99,test_130,,
100,normal_132,,
101,test_111,,
102,test_032,,
103,test_017,,
104,test_083,,
105,test_128,,
106,test_039,,
107,normal_021,,
108,test_091,,
109,test_035,,
110,test_072,,
111,test_014,,
112,test_019,,
113,test_044,,
114,test_127,,
115,test_123,,
116,normal_039,,
117,test_042,,
118,test_007,,
119,test_126,,
120,test_118,,
121,test_025,,
122,normal_024,,
123,test_070,,
124,test_005,,
125,test_006,,
126,test_037,,
127,test_034,,
128,normal_081,,
129,test_047,,
130,test_009,,
131,test_062,,
132,test_028,,
133,test_058,,
134,normal_093,,
135,test_119,,
136,test_076,,
137,test_031,,
138,test_067,,
139,test_043,,
140,test_087,,
141,normal_098,,
142,normal_110,,
143,normal_139,,
144,tumor_010,,
145,tumor_100,,
146,tumor_077,,
147,tumor_097,,
148,tumor_017,,
149,tumor_070,,
150,tumor_068,,
151,tumor_056,,
152,tumor_050,,
153,tumor_101,,
154,tumor_073,,
155,tumor_108,,
156,tumor_019,,
157,tumor_091,,
158,tumor_098,,
159,tumor_069,,
160,tumor_047,,
161,tumor_061,,
162,tumor_026,,
163,tumor_096,,
164,tumor_027,,
165,tumor_040,,
166,tumor_102,,
167,tumor_106,,
168,tumor_011,,
169,tumor_038,,
170,tumor_004,,
171,tumor_065,,
172,tumor_092,,
173,tumor_033,,
174,tumor_034,,
175,tumor_078,,
176,tumor_082,,
177,tumor_030,,
178,tumor_083,,
179,tumor_007,,
180,tumor_086,,
181,tumor_066,,
182,tumor_081,,
183,tumor_043,,
184,tumor_079,,
185,tumor_090,,
186,tumor_029,,
187,tumor_054,,
188,tumor_067,,
189,tumor_052,,
190,tumor_013,,
191,tumor_039,,
192,tumor_110,,
193,tumor_037,,
194,tumor_084,,
195,tumor_105,,
196,tumor_072,,
197,tumor_002,,
198,tumor_031,,
199,tumor_104,,
200,tumor_094,,
201,tumor_074,,
202,tumor_021,,
203,tumor_053,,
204,tumor_063,,
205,tumor_085,,
206,tumor_023,,
207,tumor_109,,
208,tumor_087,,
209,tumor_111,,
210,tumor_016,,
211,tumor_064,,
212,tumor_020,,
213,tumor_044,,
214,tumor_071,,
215,tumor_095,,
216,tumor_035,,
217,tumor_009,,
218,tumor_055,,
219,tumor_089,,
220,tumor_045,,
221,tumor_025,,
222,tumor_058,,
223,tumor_001,,
224,tumor_012,,
225,tumor_036,,
226,tumor_049,,
227,tumor_057,,
228,tumor_060,,
229,tumor_008,,
230,tumor_041,,
231,tumor_076,,
232,tumor_032,,
233,tumor_024,,
234,tumor_051,,
235,test_094,,
236,test_052,,
237,test_061,,
238,test_102,,
239,test_122,,
